StateName,StateABV,WhiteAbove200,BlackAbove200,HispanicLatinoAbove200
Alabama,AL,45236,3063,949
Alaska,AK,13279,282,489
Georgia,GA,127022,14531,4222
Hawaii,HI,10938,249,1102
Idaho,ID,14552,56,542
Illinois,IL,241916,10958,10475
Indiana,IN,64699,2160,1422
Iowa,IA,37734,340,698
Kansas,KS,38728,588,893
Kentucky,KY,41786,1377,794
Louisiana,LA,53240,4415,1557
Maine,ME,16349,85,130
Arizona,AZ,82186,1642,6739
Maryland,MD,151010,27949,6654
Massachusetts,MA,203113,4389,5434
Michigan,MI,116695,5786,2231
Minnesota,MN,103622,1465,1499
Mississippi,MS,20768,2080,508
Missouri,MO,69523,2418,1339
Montana,MT,11759,6,152
Nebraska,NE,24252,239,457
Nevada,NV,29896,1429,2118
New Hampshire,NH,30187,216,364
Arkansas,AR,25368,861,675
New Jersey,NJ,256982,12709,16909
New Mexico,NM,20417,421,4312
New York,NY,455869,26295,30906
North Carolina,NC,120127,7697,3062
North Dakota,ND,13110,21,174
Ohio,OH,141917,4593,2312
Oklahoma,OK,40158,846,1061
Oregon,OR,52684,461,1868
Pennsylvania,PA,205790,6664,3998
Puerto Rico,PR,6980,363,8180
California,CA,742500,24562,83880
Rhode Island,RI,19847,404,603
South Carolina,SC,47554,3485,1101
South Dakota,SD,10148,50,140
Tennessee,TN,73462,3939,1439
Texas,TX,413339,20838,47541
Utah,UT,35634,207,905
Vermont,VT,9164,1,135
Virginia,VA,203445,16211,10011
Washington,WA,127840,1950,4453
West Virginia,WV,14785,166,214
Colorado,CO,110577,1444,4639
Wisconsin,WI,70677,831,1338
Wyoming,WY,6892,69,274
Connecticut,CT,119445,3127,4848
District of Columbia,DC,29715,4629,2148
Delaware,DE,13999,1800,544
Florida,FL,269362,10295,36722
